"Salmo.trutta" "Phoxinus.phoxinus" "Parachondrostoma.miegii" "Luciobarbus.graellsii" "Salaria.fluviatilis" "Cobitis.calderoni" "Barbus.haasi" "Gobio.lozanoi" "Phoxinus.bigerri" "Achondrostoma.arcasii" "Squalius.laietanus" "Anguilla.anguilla" "Cobitis.paludica"
"CHE-270982" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-289745" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-81950" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-321642" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-357593" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-63177" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-321871" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-357114" 1 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-319953" 1 1 1 1 0 0 0 1 1 0 0 0 0
"CHE-311063" 1 0 0 1 0 0 1 0 1 0 0 0 0
"CHE-306372" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-379510" 0 1 0 1 0 1 0 0 0 1 0 0 0
"CHE-284193" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-272047" 0 1 1 1 0 0 0 0 0 1 1 0 0
"CHE-323142" 1 1 0 0 0 0 0 0 1 1 0 0 0
"CHE-357443" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-99821" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270969" 0 1 1 1 0 0 0 1 1 0 0 0 0
"CHE-298589" 0 0 1 0 0 0 0 1 1 0 0 0 0
"CHE-64559" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289661" 1 0 1 1 0 0 0 1 1 0 0 0 0
"CHE-326786" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-365753" 0 0 1 0 0 0 1 0 0 1 0 0 0
"CHE-186129" 1 0 0 0 0 0 1 0 1 0 0 0 0
"CHE-102552" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284421" 0 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-326574" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-80406" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-102214" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284102" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-326499" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-61994" 1 0 0 1 0 0 1 0 0 0 0 0 0
"CHE-319839" 1 1 1 1 0 0 0 0 0 0 0 1 0
"CHE-270894" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-78772" 1 1 0 0 0 0 0 0 1 0 0 0 0
"CHE-309687" 1 1 1 1 0 0 1 1 1 0 0 0 0
"CHE-349046" 1 1 1 1 1 1 0 0 0 0 0 0 0
"CHE-122178" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-44925" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289616" 0 0 1 1 0 0 0 1 1 0 0 0 0
"CHE-349343" 1 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-380034" 1 0 1 0 0 0 1 0 1 1 0 0 0
"CHE-326755" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-287441" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-94678" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-349041" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-352128" 1 0 1 1 1 1 0 0 0 0 0 0 0
"CHE-349347" 1 1 1 0 0 1 1 0 0 0 0 0 0
"CHE-352198" 1 1 1 1 0 1 1 0 1 1 0 0 0
"CHE-326452" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-283715" 1 1 1 1 0 0 0 0 0 1 0 1 0
"CHE-123449" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-60865" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-80945" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-286836" 0 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-186037" 1 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-94509" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-286250" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-123910" 1 1 0 0 0 0 0 0 1 0 0 0 0
"CHE-326682" 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-98689" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-93824" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-283654" 0 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-78266" 1 1 1 0 0 0 1 0 1 0 0 0 0
"CHE-124142" 1 1 0 0 0 0 0 0 1 0 0 0 0
"CHE-286131" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-185010" 0 0 1 0 0 0 1 0 1 0 0 0 0
"CHE-319815" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-270714" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-119401" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-119305" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-289184" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-339154" 1 1 1 1 1 1 0 1 1 1 0 0 0
"CHE-123944" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-123834" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-352916" 1 1 1 1 0 1 0 0 0 1 0 0 0
"CHE-319597" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-270488" 0 1 1 1 0 0 0 0 1 0 0 0 0
"CHE-326443" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-353491" 1 1 1 0 0 1 1 0 0 1 0 0 0
"CHE-339205" 1 0 1 1 0 1 1 1 1 1 0 0 0
"CHE-353257" 1 0 1 0 0 1 1 0 1 1 0 0 0
"CHE-270490" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-349833" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-93685" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-326393" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-97611" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-94378" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-332636" 0 1 1 1 0 1 1 0 0 1 0 0 0
"CHE-78031" 1 1 0 1 0 0 0 0 1 0 0 0 0
"CHE-331843" 0 1 1 1 1 0 0 0 0 0 0 0 0
"CHE-331855" 0 1 1 1 1 0 0 0 0 0 0 0 0
"CHE-121189" 1 1 0 0 0 0 0 0 1 0 0 0 0
"CHE-122308" 1 1 1 0 0 0 0 1 1 0 0 0 0
"CHE-327125" 0 1 1 1 0 1 0 0 0 1 0 0 1
"CHE-77471" 1 1 1 1 0 0 0 0 1 0 0 0 0
"CHE-121812" 1 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-327040" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-270332" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-326351" 0 0 1 1 0 0 0 0 0 1 0 0 0
"CHE-120080" 1 1 1 0 0 0 1 1 1 0 1 0 0
"CHE-319574" 0 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-34233" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-251789" 0 1 1 1 0 0 1 0 0 1 0 0 0
"CHE-340039" 1 0 1 1 0 1 1 1 1 0 0 0 0
"CHE-340350" 1 1 1 1 0 1 1 0 0 1 0 0 0
"CHE-326877" 0 0 1 1 1 0 0 0 0 0 0 0 0
"CHE-93577" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-181213" 1 0 1 1 0 0 1 0 1 0 0 0 0
"CHE-325739" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-319520" 0 1 1 1 0 1 0 0 0 1 1 0 0
"CHE-326308" 0 0 1 1 0 0 0 0 0 0 0 0 0
