"slope" "geology" "order" "elev" "t_Jan" "t_Jul" "width" "AGR" "FR" "UR"
"8524" 62 "kalk" 3 581 -1.996 16.642 1.94591014905531 0.339563862928349 0.411214953271028 0.249221183800623
"8462" 4 "kalk" 2 220 -1.139 18.994 1.25276296849537 0.507788161993769 0 0.492211838006231
"8716" 26 "kalk" 3 573 -3.244 16.4 1.79175946922805 0 1 0
"8133" 46 "silikat" 3 690 -4.211 15.64 1.94591014905531 0.199376947040498 0.728971962616822 0.0716510903426791
"8134" 39 "silikat" 3 679 -4.179 15.798 1.94591014905531 0.334365325077399 0.520123839009288 0.145510835913313
"8234" 9.4 "kalk" 2 570 -2.3 16.3 2.2512917986065 0.254716981132075 0.745283018867924 0
"7744" 2.5 "kalk" 5 255 -1.997 18.166 3.43398720448515 0.546583850931677 0.37888198757764 0.0745341614906832
"8706" 16 "kalk" 2 350 -2.085 18.007 0.693147180559945 0.990595611285266 0.00940438871473354 0
"8869" 15 "kalk" 3 579 -2.388 16.689 1.94591014905531 0.00314465408805031 0.99685534591195 0
"7889" 6 "kalk" 3 274 -2.287 18.511 1.02961941718116 0.63125 0.353125 0.015625
"7810" 2.3 "silikat" 2 516 -2.562 17.198 3.78418963391826 0.739938080495356 0.117647058823529 0.142414860681115
"8586" 11 "silikat" 2 360 -2.756 17.545 1.6094379124341 0.78125 0.21875 0
"8238" 20.6 "kalk" 2 837 -4.8 15.4 1.66770682055808 0.269349845201238 0.730650154798762 0
"8237" 11 "kalk" 2 482 -2.3 16.2 1.56861591791385 0.411214953271028 0.258566978193146 0.330218068535826
"8720" 11 "silikat" 3 488 -2.165 17.077 2.19722457733622 0.474842767295597 0.415094339622642 0.110062893081761
"8719" 8 "kalk" 2 538 -2.817 16.392 1.94591014905531 0.433021806853583 0.420560747663551 0.146417445482866
"8712" 8 "kalk" 2 397 -2.386 17.446 1.09861228866811 0.789308176100629 0.157232704402516 0.0534591194968553
"8235" 9.4 "kalk" 2 572 -2.3 16.3 2.33214389523559 0.225705329153605 0.764890282131661 0.00940438871473354
"8495" 28.5 "silikat" 3 1178 -4.851 13.817 1.30833281965018 0.365325077399381 0.551083591331269 0.0835913312693498
"8236" 52 "kalk" 3 839 -4.4 15.3 1.70474809223843 0.70404984423676 0.252336448598131 0.043613707165109
"8705" 11 "kalk" 2 336 -2.078 17.991 0.693147180559945 1 0 0
"7807" 3 "silikat" 2 468 -3.4 16.5 4.18965474202643 0.5375 0.246875 0.215625
"7927" 0.8 "kalk" 8 182 -1.391 19.171 3.71357206670431 0.307453416149068 0.692546583850932 0
"9698" 16.7 "silikat" 3 1265 -4.507 13.39 1.98787434815435 0.23125 0.684375 0.084375
"7765" 36 "kalk" 2 522 -2.2 16.8 1.6094379124341 0.333333333333333 0.358255451713396 0.308411214953271
"7888" 2 "kalk" 2 231 -2.051 18.477 1.25276296849537 0.993730407523511 0 0.00626959247648903
"7915" 22 "kalk" 4 545 -3.432 16.061 2.60859812213055 0.100313479623824 0.755485893416928 0.144200626959248
"7916" 22 "kalk" 4 563 -3.558 15.851 2.67414864942653 0.050314465408805 0.927672955974843 0.0220125786163522
"8135" 63 "silikat" 3 1055 -3.646 13.829 2.19722457733622 0.0560747663551402 0.94392523364486 0
"8136" 61 "silikat" 3 1073 -3.597 13.547 1.79175946922805 0.0314465408805031 0.968553459119497 0
"8323" 45 "kalk" 2 701 -3.772 14.558 1.87180217690159 0.059375 0.771875 0.16875
"8124" 53 "silikat" 2 1028 -3.632 13.993 2.39789527279837 0.197492163009404 0.802507836990596 0
"8463" 16 "silikat" 4 367 -3.948 15.156 1.79175946922805 0.307210031347962 0.692789968652038 0
"8242" 23.1 "kalk" 3 545 -2.2 16.4 2.78501124223834 0.259375 0.503125 0.2375
"8243" 27.7 "kalk" 3 660 -3.3 15 2.64617479738412 0.0747663551401869 0.925233644859813 0
"8225" 54 "kalk" 5 790 -4.1 15.7 1.68639895357023 0.728706624605678 0.192429022082019 0.0788643533123028
"7885" 2 "kalk" 4 172 -1.195 19.236 0.78845736036427 0.63125 0.178125 0.190625
"7766" 28 "kalk" 2 550 -2 17 2.11625551480255 0.64797507788162 0.317757009345794 0.0342679127725857
"8584" 5 "kalk" 3 367 -2.787 17.262 1.79175946922805 0.802507836990596 0.0846394984326019 0.112852664576803
"8340" 1.2 "kalk" 6 253 -2.2 18.1 4.04305126783455 0.316770186335404 0.43167701863354 0.251552795031056
"7806" 29 "kalk" 2 629 -3.423 15.4 1.6094379124341 0 1 0
"8717" 11 "kalk" 3 309 -2.322 17.832 1.38629436111989 0.905956112852665 0.0940438871473354 0
"8722" 11 "kalk" 5 357 -2.308 17.808 1.6094379124341 0.588050314465409 0.150943396226415 0.261006289308176
"8506" 17 "kalk" 2 612 -3.207 15.819 1.6094379124341 0.448916408668731 0.495356037151703 0.0557275541795666
"8709" 30 "kalk" 2 617 -3.705 15.326 1.09861228866811 0.05625 0.94375 0
"7987" 7 "kalk" 4 290 -2.14 18.5 1.79175946922805 0.946875 0.04375 0.009375
"7764" 7 "kalk" 2 427 -0.9 18.1 1.66770682055808 0.421383647798742 0.248427672955975 0.330188679245283
"8150" 56 "kalk" 2 850 -4.464 15.14 1.25276296849537 0.383177570093458 0.355140186915888 0.261682242990654
"8228" 40 "kalk" 2 580 -2.6 16 2.18605127673809 0.5141065830721 0.4858934169279 0
"8229" 42 "kalk" 2 590 -2.8 15.8 2.09186406167839 0.391304347826087 0.608695652173913 0
"8523" 11.2 "silikat" 4 961 -4.708 14.736 2.72785282839839 0.40625 0.2875 0.30625
"7970" 40 "kalk" 3 940 -2.271 14.71 2.69462718077007 0.0566037735849057 0.943396226415094 0
"7969" 44 "kalk" 3 920 -2.255 14.94 2.90690105984738 0.18125 0.79375 0.025
"8721" 9 "kalk" 2 579 -2.409 16.847 1.09861228866811 0 1 0
"7805" 22 "kalk" 2 519 -2.975 16.256 2.89037175789616 0.583333333333333 0.299382716049383 0.117283950617284
"7784" 1 "kalk" 2 202 -1.702 18.97 1.38629436111989 0.831775700934579 0 0.168224299065421
"8707" 26 "kalk" 3 474 -2.559 16.247 3.04452243772342 0.125 0.675 0.2
"8585" 1 "kalk" 3 356 -2.777 17.217 1.09861228866811 0.849529780564263 0.150470219435737 0
"7971" 14 "kalk" 2 865 -3.082 14.814 2.83321334405622 0.0685358255451713 0.853582554517134 0.0778816199376947
"8149" 56 "kalk" 2 979 -4.484 14.271 1.25276296849537 0.123839009287926 0.876160990712074 0
