"Sediment_type" "Geomorph_type" "Landuse" "order" "cond" "temp" "Elevation" "Depth" "FR" "AGR" "UR"
"PL02S1401_0573" "Silt/clay" "Sinusoidal " "Field" 6 438.5 18.5 205.1 "10" 0.188679245283019 0.50314465408805 0.308176100628931
"PL02S1401_0587" "Gravel/ small stones" "Sinusoidal " "Fallow" 2 320 17 175 "35" 0 0.875 0.125
"PL02S1401_0591" "Gravel/ small stones" "Naturally straight  " "forest" 2 440.5 18.5 263 "15" 0.102167182662539 0.622291021671827 0.275541795665635
"PL02S1401_0593" "Gravel/ small stones" "Sinusoidal " "Urban" 3 457.5 18.5 223 "70" 0.0410094637223975 0.753943217665615 0.205047318611987
"PL02S1401_0594" "Gravel/ small stones" "Sinusoidal " "Field" 2 348 18.5 404 "35" 0.0470219435736677 0.761755485893417 0.191222570532915
"PL02S1401_1215" "Silt/clay" "Meandering regularly " "Field" 6 658 17.8 120 "250" 0.18125 0.7375 0.08125
"PL02S1401_1217" "Sand" "Sinusoidal " "Field" 6 598 18.5 108 "150" 0.536050156739812 0.0783699059561129 0.385579937304075
"PL02S1401_1218" "Sand" "Sinusoidal " "Field" 6 608 18.5 100 "250" 0.15625 0.74375 0.1
"PL02S1401_1220" "Sand" "Sinusoidal " "forest" 6 748 18 74.8 "200" 0.739811912225705 0.219435736677116 0.0407523510971787
"PL02S1401_1227" "Gravel/ small stones" "Sinusoidal " "Field" 2 160 18 420 "20" 0 0.7625 0.2375
"PL02S1401_1228" "Gravel/ small stones" "Sinusoidal " "Field" 4 240 18 295 "40" 0 0.687697160883281 0.312302839116719
"PL02S1401_1229" "Gravel/ small stones" "Sinusoidal " "Field" 5 260 16 265 "50" 0 0.5125 0.4875
"PL02S1401_1230" "Gravel/ small stones" "Sinusoidal " "forest" 5 290 16 230 "60" 0.38871473354232 0.495297805642633 0.115987460815047
"PL02S1401_1233" "Gravel/ small stones" "Sinusoidal " "Field" 5 300 15 330 "50" 0 0.962848297213622 0.0371517027863777
"PL02S1401_1237" "Gravel/ small stones" "Sinusoidal " "Field" 2 310 16 340 "30" 0.29375 0.6 0.10625
"PL02S1401_1239" "Gravel/ small stones" "Sinusoidal " "Field" 3 450 16 340 "30" 0.186335403726708 0.813664596273292 0
"PL02S1401_1247" "Gravel/ small stones" "Sinusoidal " "Field" 2 340 17 155 "40" 0.0712074303405573 0.904024767801858 0.0247678018575851
"PL02S1401_1254" "Sand" "Sinusoidal " "Field" 3 1255 18.5 110 "120" 0.06875 0 0.93125
"PL02S1401_1258" "Sand" "Sinusoidal " "Field" 2 420 17 153 "40" 0.09375 0.90625 0
"PL02S1401_1287" "Sand" "Sinusoidal " "Fallow" 4 684 17.8 115.5 "200" 0 0.631578947368421 0.368421052631579
"PL02S1401_1290" "Silt/clay" "Sinusoidal " "Field" 4 763 17.8 121 "80" 0.108359133126935 0.715170278637771 0.176470588235294
"PL02S1401_1291" "Sand" "Sinusoidal " "Field" 4 638 17.8 120 "100" 0.00313479623824451 0.652037617554859 0.344827586206897
"PL02S1401_1294" "Sand" "Sinusoidal " "forest" 3 879 17.8 125 "60" 0 0.423197492163009 0.576802507836991
"PL02S1401_1300" "Gravel/ small stones" "Sinusoidal " "Field" 3 474.8 18.5 250 "40" 0 0.6375 0.3625
"PL02S1401_1307" "Silt/clay" "Naturally straight  " "Field" 2 620 18.5 190 "80" 0 0.6625 0.3375
"PL02S1401_1308" "Sand" "Sinusoidal " "forest" 3 185 18.2 130.3 "12" 0.288401253918495 0.564263322884012 0.147335423197492
"PL02S1401_1321" "Sand" "Sinusoidal " "Fallow" 3 596 18.2 87.5 "75" 0.184375 0.76875 0.046875
"PL02S1401_1322" "Sand" "Sinusoidal " "Fallow" 5 406 18.5 96 "100" 0.779179810725552 0.220820189274448 0
"PL02S1401_1323" "Sand" "Sinusoidal " "Field" 5 436.9 19.5 84 "250" 0 0.779503105590062 0.220496894409938
"PL02S1401_1324" "Sand" "Sinusoidal " "Fallow" 5 532 18 76.2 "175" 0.105590062111801 0.894409937888199 0
"PL02S1401_1325" "Organic " "Sinusoidal " "Pond" 3 380 18 112 "20" 0.0373831775700935 0.962616822429907 0
"PL02S1401_1327" "Organic " "Sinusoidal " "Pond" 3 380 18 108 "50" 0.133956386292835 0.866043613707165 0
"PL02S1401_1331" "Sand" "Sinusoidal " "Field" 4 653 19.5 84 "140" 0 0.677018633540373 0.322981366459627
"PL02S1401_1334" "Silt/clay" "Sinusoidal " "Field" 2 906 19.5 86 "100" 0.261006289308176 0.650943396226415 0.0880503144654088
"PL02S1401_1341" "Sand" "Sinusoidal " "Field" 3 1499 18 71.8 "85" 0 0.745341614906832 0.254658385093168
"PL02S1401_1369" "Gravel/ small stones" "Sinusoidal " "forest" 4 129 18 173.8 "55" 0.19375 0.6 0.20625
"PL02S1401_2264" "Gravel/ small stones" "Sinusoidal " "forest" 5 217 17.1 171.3 "12" 0.475 0.525 0
"PL02S1401_2275" "Gravel/ small stones" "Sinusoidal " "Urban" 3 230 18 290 "15" 0 0.639498432601881 0.360501567398119
"PL02S1401_2281" "Silt/clay" "Naturally straight  " "Fallow" 2 458 18.5 88 "120" 0.170807453416149 0.754658385093168 0.0745341614906832
"PL02S1401_2295" "Gravel/ small stones" "Sinusoidal " "Urban" 2 310 18.5 350 "15" 0 1 0
"PL02S1401_3444" "Gravel/ small stones" "Sinusoidal " "Urban" 2 290 15 270 "15" 0 0.796238244514107 0.203761755485893
