"Barbatula.quignardi" "Alburnus.alburnus" "Cyprinus.carpio" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Oncorhynchus.mykiss" "Silurus.glanis" "Carassius.auratus" "Lepomis.gibbosus" "Micropterus.salmoides" "Gambusia.holbrooki" "Barbatula.barbatula" "Gobio.gobio" "Esox.lucius" "Tinca.tinca" "Ameiurus.melas"
"CHE-270488" 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0
"CHE-326443" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-353491" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-339205" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-353257" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270490" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-349833" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-93685" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-326393" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-97611" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-94378" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-332636" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-78031" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-331843" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-331855" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-121189" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-122308" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-327125" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-77471" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-121812" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-327040" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-270332" 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0
"CHE-326351" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-120080" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-319574" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-34233" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-251789" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-340039" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-340350" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-326877" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-93577" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-181213" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-325739" 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0
"CHE-319520" 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0
"CHE-326308" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-285552" 1 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0
"CHE-325710" 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0
"CHE-248951" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-327166" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-283134" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-76966" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270210" 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1
"CHE-117834" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284639" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-96662" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270200" 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1
"CHE-340564" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-319467" 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0
"CHE-350092" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
