"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0601_0935" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 15 0 0 0 16 0 0 0 0 43 0 0 0 1 0 0 0
"PL02S0601_3238" 0 2 0 0 0 0 0 0 0 5 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 26 0 0 0 2 0 0 4
"PL02S0601_3239" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 12 0 0 32 0 0 0 0 0 0 0
"PL02S0601_3460" 0 0 1 0 4 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 33 0 0 0 8 0 0 22
"PL02S0601_3461" 0 219 0 0 304 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 66 0 0 0 23 0 0 0
"PL02S0901_0945" 0 1 0 46 500 0 1 5 0 0 0 0 0 0 3 1 24 1 0 0 0 104 0 0 0 0 18 0 0 40 0 14 0 0 0 0 6 0 0
"PL02S0901_0948" 0 0 18 0 1 0 0 20 0 3 0 2 0 0 0 0 2 1 0 0 0 16 4 0 0 0 3 0 0 0 0 26 0 0 68 0 1 0 0
"PL02S0901_0957" 0 0 0 39 6 0 91 0 0 0 0 0 0 0 0 0 109 0 0 0 0 27 0 9 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0
"PL02S0901_0989" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
"PL02S0901_0994" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 17 0 33 0 0 0 2 16 2 23 2 0 13 0 0 0 0 117 0 0 1 0 0 0 0
