"Geology" "Gem_typ" "LUses" "order" "elev" "Cond_Gl" "Dischrg" "Mn_Ar_T" "AGR" "FR" "UR"
"CHE-367165" "Siliceous" "Straight" "Forest_Conif" 3 582 1.550865 0.00046 48.67361 0.2625 0.7375 0
"CHE-363812" "Sediments" "Straight" "Agriculture" 3 548 3.18261 2e-05 48.11922 0.695924764890282 0.304075235109718 0
"CHE-294693" "Sandstones" "Sinuous" "Shrubs" 3 588 1 1e-05 59.08916 0.0189873417721519 0.981012658227848 0
"CHE-277989" "Sediments" "Straight" "Forest_NoConif" 3 448 1.95349 0.00027 66.01749 0.739130434782609 0.0869565217391304 0.173913043478261
"CHE-300540" "Sandstones" "Straight" "Forest_NoConif" 2 814 1.95717 0.00028 78.00336 0 1 0
"CHE-363228" "Shales" "Straight" "Agriculture" 3 579 3.73459 0.00013 57.1129 0.912225705329154 0 0.0877742946708464
"CHE-361212" "Sediments" "Straight" "Agriculture" 3 527 2.153845 0.00037 30.58152 0.965625 0.034375 0
"CHE-360678" "Sediments" "Sinuous" "Agriculture" 2 513 2 8e-05 30.58152 0.49375 0.2625 0.24375
"CHE-273389" "Shales" "Sinuous" "HumidAreas" 5 436 1.486725 0.00827 63.64371 0.302839116719243 0.697160883280757 0
"CHE-360474" "Sediments" "Sinuous" "Shrubs" 4 502 2 0.00381 42.47646 0.622641509433962 0 0.377358490566038
"CHE-359946" "Shales" "Straight" "Agriculture" 2 540 3.982455 0.00011 42.47412 0.773584905660377 0.20125786163522 0.0251572327044025
"CHE-291540" "Shales" "Straight" "Shrubs" 4 728 3.13158 1e-05 64.00723 0.0125786163522013 0.987421383647799 0
"CHE-281438" "Sediments" "Sinuous" "Forest_NoConif" 4 443 1.827445 0.00268 70.89055 0.716981132075472 0.157232704402516 0.125786163522013
"CHE-189928" "Calcareous" "Straight" "HumidAreas" 3 1562 3.27211 0.00045 124.38779 0 1 0
"CHE-301338" "Sandstones" "Straight" "Forest_NoConif" 4 740 1 0.00302 76.84174 0 1 0
"CHE-370341" "Sediments" "Sinuous" "Agriculture" 3 546 2 0 49.21629 0.909375 0.090625 0
"CHE-294542" "Sediments" "Straight" "Shrubs" 3 518 2.02247 0.00121 66.20799 0.660377358490566 0.339622641509434 0
"CHE-280152" "Sediments" "Straight" "Agriculture" 2 479 3 0.00022 58.63406 0.551724137931034 0 0.448275862068966
"CHE-382167" "Sediments" "Sinuous" "Agriculture" 5 574 2 0 35.90138 0.887147335423197 0.112852664576803 0
